

===============================================      Match : 73 ================================== 
Equipe 2 
43 , 225 , 425 
105 , 219 , 428 
179 , 223 , 429 
240 , 226 , 430 
316 , 217 , 431 
395 , 154 , 435 
394 , 304 , 436 
455 , 125 , 437 
453 , 244 , 442 
457 , 368 , 438 
537 , 228 , 443 


===============================================      Match : 317 ================================== 
Equipe 1 
49 , 225 , 401 
101 , 157 , 404 
106 , 316 , 405 
208 , 101 , 406 
208 , 200 , 407 
207 , 292 , 411 
201 , 389 , 412 
266 , 224 , 413 
351 , 228 , 418 
442 , 225 , 414 
511 , 227 , 419 
Equipe 2 
47 , 225 , 660 
116 , 98 , 663 
114 , 190 , 664 
116 , 283 , 665 
115 , 372 , 666 
201 , 161 , 670 
205 , 311 , 671 
268 , 221 , 672 
359 , 229 , 677 
437 , 221 , 673 
520 , 225 , 678 


===============================================      Match : 318 ================================== 
Equipe 1 
51 , 225 , 636 
143 , 123 , 639 
144 , 235 , 640 
143 , 351 , 641 
259 , 129 , 642 
255 , 248 , 646 
258 , 363 , 647 
355 , 118 , 648 
354 , 238 , 653 
357 , 345 , 649 
452 , 227 , 654 
Equipe 2 
42 , 225 , 380 
100 , 154 , 383 
106 , 302 , 384 
179 , 152 , 385 
186 , 302 , 386 
249 , 226 , 390 
312 , 161 , 391 
313 , 315 , 392 
378 , 222 , 397 
456 , 231 , 393 
526 , 219 , 398 


===============================================      Match : 319 ================================== 
Equipe 1 
48 , 225 , 543 
128 , 158 , 546 
127 , 312 , 547 
223 , 99 , 548 
218 , 197 , 549 
217 , 299 , 553 
216 , 392 , 554 
314 , 155 , 555 
312 , 302 , 560 
409 , 224 , 556 
497 , 223 , 561 
Equipe 2 
49 , 225 , 611 
119 , 217 , 614 
189 , 130 , 615 
187 , 249 , 616 
180 , 371 , 617 
275 , 156 , 621 
273 , 316 , 622 
360 , 159 , 623 
362 , 314 , 628 
436 , 224 , 624 
504 , 229 , 629 


===============================================      Match : 320 ================================== 
Equipe 1 
43 , 225 , 587 
98 , 127 , 590 
99 , 240 , 591 
103 , 357 , 592 
170 , 222 , 593 
241 , 228 , 597 
323 , 157 , 598 
317 , 305 , 599 
400 , 224 , 604 
463 , 217 , 600 
526 , 228 , 605 
Equipe 2 
49 , 225 , 565 
117 , 159 , 568 
117 , 316 , 569 
213 , 105 , 570 
217 , 200 , 571 
211 , 304 , 575 
216 , 396 , 576 
301 , 222 , 577 
400 , 156 , 582 
400 , 303 , 578 
487 , 223 , 583 


===============================================      Match : 553 ================================== 
Equipe 1 
45 , 225 , 867 
143 , 104 , 870 
140 , 200 , 871 
146 , 293 , 872 
144 , 389 , 873 
238 , 104 , 877 
241 , 196 , 878 
236 , 293 , 879 
237 , 393 , 884 
356 , 225 , 880 
471 , 224 , 885 
Equipe 2 
43 , 225 , 728 
128 , 117 , 731 
137 , 226 , 732 
135 , 346 , 733 
245 , 156 , 734 
241 , 314 , 738 
359 , 105 , 739 
358 , 200 , 740 
356 , 294 , 745 
359 , 389 , 741 
453 , 220 , 746 


===============================================      Match : 554 ================================== 
Equipe 1 
51 , 225 , 889 
127 , 160 , 892 
122 , 309 , 893 
212 , 97 , 894 
213 , 193 , 895 
210 , 291 , 899 
207 , 380 , 900 
310 , 154 , 901 
311 , 309 , 906 
405 , 220 , 902 
485 , 228 , 907 
Equipe 2 
48 , 225 , 844 
118 , 223 , 847 
223 , 101 , 848 
228 , 204 , 849 
226 , 302 , 850 
227 , 403 , 854 
